Date : 2025-09-08 18:25:52
Directory : d:\documents\projects\hellotab
Total : 85 files,  6320 codes, 10 comments, 1738 blanks, all 8068 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\documents\projects\hellotab\package.json                                | JSON               |         32 |          0 |          1 |         33 |
| d:\documents\projects\hellotab\public\img\163mail.svg                      | XML                |         25 |          0 |          1 |         26 |
| d:\documents\projects\hellotab\public\img\CCTV.svg                         | XML                |         60 |          1 |          2 |         63 |
| d:\documents\projects\hellotab\public\img\chrome.svg                       | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\deepseek.svg                     | XML                |          4 |          0 |          0 |          4 |
| d:\documents\projects\hellotab\public\img\drawio.svg                       | XML                |         16 |          0 |          0 |         16 |
| d:\documents\projects\hellotab\public\img\duolingo.svg                     | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\edge.svg                         | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\extension.svg                    | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\firefox.svg                      | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\folo.svg                         | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\forms.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\gamma.svg                        | XML                |         23 |          0 |          1 |         24 |
| d:\documents\projects\hellotab\public\img\github.svg                       | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\globe.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\icons8.svg                       | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\notion.svg                       | XML                |          4 |          0 |          0 |          4 |
| d:\documents\projects\hellotab\public\img\onedrive.svg                     | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\outlook.svg                      | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\postman.svg                      | XML                |         13 |          0 |          1 |         14 |
| d:\documents\projects\hellotab\public\img\vsc.svg                          | XML                |          1 |          0 |          0 |          1 |
| d:\documents\projects\hellotab\public\img\webofscience.svg                 | XML                |         24 |          1 |          1 |         26 |
| d:\documents\projects\hellotab\public\sitemap.xml                          | XML                |         21 |          0 |          0 |         21 |
| d:\documents\projects\hellotab\server\api\backgrounds.js                   | JavaScript         |         30 |          0 |          2 |         32 |
| d:\documents\projects\hellotab\server\api\completion.js                    | JavaScript         |         36 |          0 |          1 |         37 |
| d:\documents\projects\hellotab\server\api\image\[...id].js                 | JavaScript         |         44 |          0 |          5 |         49 |
| d:\documents\projects\hellotab\server\api\image\upload.js                  | JavaScript         |         21 |          0 |          1 |         22 |
| d:\documents\projects\hellotab\server\api\proxy\[...dest].js               | JavaScript         |         44 |          1 |          4 |         49 |
| d:\documents\projects\hellotab\server\api\weather.js                       | JavaScript         |         26 |          0 |          1 |         27 |
| d:\documents\projects\hellotab\server\tsconfig.json                        | JSON with Comments |          3 |          0 |          1 |          4 |
| d:\documents\projects\hellotab\tsconfig.json                               | JSON with Comments |          3 |          1 |          1 |          5 |
| Total                                                                      |                    |      6,320 |         10 |      1,738 |      8,068 |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
